Company,ListingDate,issue_price,issue_size,hni_subscription,nii_subscription,rii_subscription,EMP,Total_sub,OpenPrice,LowPrice,HighPrice,ClosePrice,revenue_2,revenue_1,eps_2,eps_1,listingGain_per
Sigachi Industries ,15-Nov-21,163,125.43,86.51,172.43,80.49,,101.91,575,570.45,603.75,603.75,132.88,143.95,8.25,8.82,270.4
Paras Defence And Space Technologies ,1-Oct-21,175,170.78,169.65,927.7,112.81,,304.26,475,456,498.75,498.75,157.17,149.05,6.74,6.91,185
Latent View Analytics ,23-Nov-21,197,600,145.48,850.66,119.44,3.87,326.49,530,462,548.75,488.6,295.9,329.68,3.52,4.28,148.02
Burger King India ,14-Dec-20,60,810,86.64,354.11,68.15,,156.65,115.35,108.4,138.4,138.4,388.74,644.14,-3.1,-1.44,130.67
IRCTC ,14-Oct-19,320,645.12,108.79,354.52,14.83,5.81,111.91,644,625,743.8,728.6,1587.12,1565.19,2.86,2.76,127.69
Happiest Minds Technologies Ltd ,17-Sep-20,166,702.02,77.43,351.46,70.94,,150.98,351,351,395,371,460.23,601.81,-3.56,4.24,123.49
Tatva Chintan Pharma Chem Ltd ,29-Jul-21,1083,500,185.23,512.22,35.35,,180.36,2111.8,2111.8,2486.3,2310.25,207.55,264.62,10.23,18.81,113.32
Indigo Paints ,2-Feb-21,1490,1176,189.57,263.05,15.93,2.5,117.02,2607.5,2428.2,3129,3118.65,537.25,626.43,9.36,16.53,109.31
G R Infraprojects ,19-Jul-21,837,963.28,168.58,238.04,12.57,1.37,102.58,1700,1550,1838.8,1746.8,5325.53,6423.71,73.91,82.59,108.7
Mrs. Bectors Food Specialities ,24-Dec-20,288,540.54,176.85,620.86,29.33,45.46,198.02,501,500,601.2,595.55,692.45,786.1,6.27,5.79,106.79
FSN E-Commerce Ventures - NYKAA,10-Nov-21,1125,5351.92,91.18,112.02,12.24,1.88,81.78,2001,1994.1,2248.1,2206.7,1116.38,1777.85,-0.98,-0.64,96.15
MTAR Technologies ,15-Mar-21,575,596.41,164.99,650.79,28.4,,200.79,1063.9,1035.7,1154,1082.25,187.2,218.14,13.9,11.39,88.22
Route Mobile Ltd ,21-Sep-20,350,600,89.76,192.81,12.67,,73.3,708,625,735,651.1,509.49,852.38,9.74,11.38,86.03
Go Fashion (India) ,30-Nov-21,690,1013.61,100.73,262.08,49.7,,135.46,1316,1144.15,1341,1252.6,298.52,410.88,13.75,17.55,81.54
Clean Science and Technology Ltd ,19-Jul-21,900,1546.62,156.37,206.43,9,,93.41,1784.4,1555.05,1784.4,1585.2,404.56,430.17,8.62,12.72,76.13
Rossari Biotech Ltd ,23-Jul-20,425,496.49,85.26,239.83,7.23,,79.37,670,663.55,804,742.35,292.73,517.13,5.98,9.44,74.67
Chemcon Speciality Chemicals ,1-Oct-20,340,318,113.54,449.14,41.15,,149.3,730.95,584.8,743.8,584.8,157.99,305.33,8.31,13.55,72
Nureca ,25-Feb-21,400,100,3.1,31.59,166.65,4.82,39.93,634.95,603.25,666.65,666.65,61.99,99.49,891.43,912.86,66.66
Zomato ,23-Jul-21,76,9375,51.79,32.96,7.45,0.62,38.25,115,114,138,125.85,2630,2768.44,-4.26,-10.46,65.59
Tega Industries ,13-Dec-21,453,619.23,215.45,666.19,29.44,,219.04,753,711.5,767.1,725.5,644.83,697.35,5.66,11.37,60.15
Ami Organics ,14-Sep-21,610,569.64,86.64,154.81,13.36,,64.54,902,841.2,967.25,934.55,238.89,242.48,7.4,8.72,53.2
Ujjivan Small Finance Bank Ltd ,12-Dec-19,37,750,110.72,473,48.97,,165.66,58,53.1,62.8,55.9,226.1,1579.36,0,0.05,51.08
Harsha Engineer,26-Sep-22,330,755,113.82,40.36,12.44,,47.19,495,485.9,,485.9,899.5,876.73,4.38,9.09,47.24
Hariom Pipe,13-Apr-22,153,130.05,0.7,2.68,6.92,,3.57,214,224.7,,224.7,161.15,254.82,5.98,10.02,46.86
Nazara Technologies ,30-Mar-21,1101,582.91,103.77,389.89,75.29,7.55,175.46,1971,1576.8,2026.9,1576.8,186.1,262.97,3.22,-0.38,43.22
Electronics Mart,17-Oct-22,59,500,58.81,15.39,8.27,,24.23,85.9,84.45,,84.45,3179.02,3207.37,2.72,1.95,43.14
Supriya Lifescience ,28-Dec-21,274,700,31.83,161.22,56.01,,71.51,425,383.15,425,390.35,285.86,322.71,5.39,10.02,42.46
Syrma SGS,26-Aug-22,220,840.13,42.42,7.13,2.84,,15.59,262,313.05,,313.05,880.36,903.48,1.98,1.48,42.3
Dreamfolks Serv,6-Sep-22,326,562.1,27.48,14.18,24.19,,23.25,455,462.65,,462.65,367.81,108.11,6.06,-0.28,41.92
Medplus Health Services ,23-Dec-21,796,1398.3,111.9,85.33,5.24,3.05,52.59,1015,1015,1143.1,1120.85,2284.94,2887.88,253.29,42.93,40.81
